Video Position (%),Segment Text,Video
46,"guy’s bathroom misadventure. It goes to show, if you must leave a mess in a public restroom, have a rapid escape",Video F
47,"plan prepared. Alternative Medicine Of all the things to be sceptical of, the meticulously-tested, highly-regulated treatments of modern medicine are a",Video F
48,"very poor choice. While mistrust of certain scientific methods of treatment is often a problem of ignorance and misinformation, it can",Video F
49,prove a fatal error of judgement when the only alternative is death. Case in point: after being diagnosed with breast cancer,Video F
50,"in 2016, a British mother decided against conventional treatments like chemotherapy and surgery. She decided that natural remedies, like raw turmeric,",Video F
51,"iodine-rich brown seaweed and a vegan diet would be a much better treatment plan. Unsurprisingly, she died in 2019 after the",Video F
52,cancer spread throughout her body. It was a heart-breaking story of wilful ignorance that left a child motherless. There’s nothing funny,Video F
53,"about this one, folks; it’s simply a reminder that science exists for very good reasons, which become clear when people choose",Video F
54,"to ignore it. Just Plane Stupid I’m no aviation expert, but I’d say if you’re up in the air and fuel",Video F
55,"begins to slosh around your feet in the cockpit, you probably have a problem. Unfortunately, one pilot refused to take that",Video F
56,"specific problem seriously, despite the insistence of airport mechanics after he touched down to refuel on a one-man cross-country flight in",Video F
57,"2015. Before the appalled mechanics at Missoula International Airport had a chance to intervene, the Bucker Jungmeister aircraft was back on",Video F
58,the runway. The pilot insisted that he was in too much of a hurry to carry out repairs and headed straight,Video F
59,onto the next leg of his journey. But the plane would reach its final destination even sooner than expected. 10 seconds,Video F
60,"after take-off, the plane came crashing back down and exploded in a ball of flames. It only takes a glance at",Video F
61,the wreckage to be able to guess whether or not the hasty pilot survived. Spoiler: he didn’t. One In The Chamber,Video F
62,"When it comes to irresponsible behaviour, anything relating to guns lands at the top of the idiot list. But the level",Video F
63,"of stupidity in this story will blow your mind. While enjoying a few beers in Brevard County, Florida, a man and",Video F
64,"his friend began playing around with a handgun. After removing the magazine from the gun, the owner wanted to be extra",Video F
65,"safe and make sure there wasn’t still a bullet in the chamber. After all, you never can be too careful. To",Video F
66,"test this, he jokingly held the gun up to his temple, presumably certain he’d already unloaded it. In light-hearted jest he",Video F
67,"pulled the trigger. With a bang, the party was over. The bright spark was dead by the time police arrived on-scene.",Video F
68,"If there was ever a poster child for gun safety, it’d be this guy. Off-Roading In 2018, a Florida woman learned",Video F
69,"the hard way that trains don’t play fair in a race. While the guard rails were down at a newly-built crossing,",Video F
70,"the lady made a serious error of judgement, deciding she could cross the tracks before the train reached her. But, as",Video F
71,"you probably guessed, guard rails are there for a reason; that reason being, if you cross while they’re down, you’re probably",Video F
72,"going to die. And that’s exactly what happened. The woman and her bike met their end with the train, right on",Video F
73,"schedule. A Royal Romance Young love is a powerful thing, and if the case of King Louis III of France is",Video F
74,"anything to go by, even royals aren’t safe from its dangerous snares. In 882C.E., at the lustful age of 18, Louis",Video F
75,"fell for a girl in Saint-Denis on the outskirts of Paris. One day, he spotted her making her way through town,",Video F
76,"and mounted his horse to pursue her. But, with his attention totally fixed upon his love interest, he failed to spot",Video F
77,"the low-hanging lintel of a doorway ahead of him. Moving at speed, he crashed head-first into the frame and fell, fatally",Video F
78,"fracturing his skull. He died soon afterwards, proving once and for all that love… hurts. Unforgettable Entrance After kicking her boyfriend",Video F
79,"out of her house in November 2007, a Florida woman hadn’t hoped to see him on the premises again for a",Video F
80,"while. But after leaving the house for a few hours and returning, the woman was shocked to see her boyfriend again",Video F
81,"so soon. Only, he wasn’t pleading with her to let him back in; it seemed he’d made the decision to enter",Video F
82,"the house by any means necessary… and failed. You see, he’d tried to enter through the cat flap, presumably hoping to",Video F
83,"unlock the door. He’d delved in, got one arm through followed by his head, and gotten stuck. In this embarrassing position,",Video F
84,"he’d died, presumably from asphyxiation, although stupidity hasn’t been ruled out as the main cause of death. One Last Trick It’s",Video F
85,"pretty obvious that, without the right amount of practice and preparation, attempting death-defying stunts can be incredibly stupid and dangerous. For",Video F
86,"an Indian escape artist by the name of Chanchal Lahiri, an attempt to emulate the great masters like Harry Houdini ended",Video F
87,"in disaster in 2019. Lahiri was lowered into the strong currents of the Hooghly River near Howrah, India, with his hand",Video F
88,"and feet tied. He was expected to escape and resurface soon after, but onlookers grew concerned after 15 minutes with no",Video F
89,"sign of the illusionist. He wouldn’t resurface until much later, when police pulled his lifeless body from the river. Officials stated",Video F
90,"that Lahiri’s cumbersome outfit, combined with the strong currents of the river, made an escape nearly impossible. Without the necessary preparations,",Video F
91,"Lahiri seemed to have grossly underestimated the difficulty of the stunt and fell victim to his own ego. Really, though, if",Video F
92,"being tied up and thrown into a river seems like anything other than a bad idea, then... [roll clip] Cut Of",Video F
93,"The Cash Hurting yourself as an insurance scam is never clever, but an Italian man achieved maximum stupidity in 2001 with",Video F
94,"what may be the dumbest money-making scheme of all time. After taking out several policies with different insurance companies, the man",Video F
95,had asked his cousin to cut his leg off with a chainsaw. He’d hoped to cash in for over half a,Video F
96,"million dollars on the injury with claims of being permanently disabled by the so-called ‘accident’. But, while the DIY amputation was",Video F
97,"being performed, extreme blood loss set in, and the would-be fraudster died from his gruesome injuries. His cousin, fittingly, was arrested",Video F
98,"for the psychotically-stupid act, and he didn’t even manage to saw all the way through! If you want something doing, do",Video F
99,"it yourself, I guess? Do you have any bizarre local tales of lethal stupidity? Let me know in the comments section below. Thanks for watching!",Video F
